fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
8/2k2p2/2b3p1/P1p1Np2/1p3b2/1P1K4/5r2/R3R3 b - - 0 1,g6g5->e5f7->c6b5,2,2,0,0.3048689365386963
r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK w - - 1 1,a2a4->f8g8->e5f7,2,2,0,2.817920684814453
1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q w - - 1 1,b2b4->e8h8->b7f7,2,2,0,0.2314140796661377
r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1 w - - 1 1,f3h5->f5h5->d4d7,2,2,0,1.9671030044555664
4r3/2q1rpk1/p3bN1p/2p3p1/4QP2/2N4P/PP4P1/5RK1 w - - 1 1,e4g6->g7h8->g6h6,2,2,0,0.6592559814453125
r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1 w - - 1 1,h4h7->g6h7->g5f7,2,2,0,1.4996650218963623
rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R w - - 1 1,g6e5->f6h5->c4f7,2,2,0,0.2816498279571533
r1b2rk1/ppppbpp1/7p/4R3/6Qq/2BB4/PPP2PPP/R5K1 w - - 1 1,g4e4->g8h8->e4h7,2,2,0,2.3026509284973145
1r3k2/2n1p1b1/3p2QR/p1pq1pN1/bp6/7P/2P2PP1/4RBK1 w - - 1 1,e1e6->f8g8->g6f7,2,2,0,0.21076512336730957
5b2/1p3rpk/p1b3Rp/4B1RQ/3P1p1P/7q/5P2/6K1 w - - 1 1,g6h6->g7h6->h5g6,2,2,0,0.08040499687194824
r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R w - - 1 1,f2c5->h8g8->h5f7,2,2,0,0.5560729503631592
r2qr2k/pp1b3p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K1R1N1 w - - 1 1,e1e8->d7e8->d6f8,2,2,0,7.487596035003662
4r3/p2r1p1k/3q1Bpp/4P3/1PppR3/P5P1/5P1P/2Q3K1 w - - 1 1,c1h6->h7h6->e4h4,2,2,0,1.6706628799438477
r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1 w - - 1 1,d3h3->g8f8->h3h7,2,2,0,0.16789507865905762
8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6 b - - 0 1,f7f5->e2h5->g6g5,2,2,0,0.3917968273162842
8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8 w - - 1 1,b4e1->e2e1->g2g3,2,2,0,0.20002102851867676
Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2 w - - 1 1,g2g7->f7g7->h5f6,2,2,0,2.9091153144836426
r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1 w - - 1 1,g6f7->e8d8->h8g8,2,2,0,0.48557019233703613
4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8 w - - 1 1,h7g7->b7b5->h3f3,2,2,0,0.37447619438171387
r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1 w - - 1 1,f4d6->f7e7->c7e6,2,2,0,1.0939900875091553
6rk/6pp/5p2/p7/P2Q1N2/4P1P1/2r2n1P/6K1 w - - 1 1,d4b4->g8f8->b4f8,2,2,0,0.120635986328125
1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8 w - - 1 1,h4h3->e6f6->h3h6,2,2,0,0.28586387634277344
6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K b - - 0 1,g4g1->f1g1->e4f2,2,2,0,0.4945690631866455
3rk3/1p3p2/2p5/7P/1P1qpp1R/P5P1/2Q5/3BK3 b - - 0 1,f4f3->h4g4->d4g1,2,2,0,0.6315290927886963
2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1 w - - 1 1,c8c3->g7h8->c3h8,2,2,0,0.12737798690795898
r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K w - - 1 1,g2g4->e8f8->h6h7,2,2,0,0.31026220321655273
